Date,Comment
2026-03-30T22:23:07Z,wajar lah pak prabowo mengedepankan kepentingan untuk mencetak man power iq tinggi knp dia belajar dari bapak angkatnya ya itu pak bjhabibi
2026-03-28T21:55:14Z,subsidi bbm mau dialihkan full mbg bungg
2026-03-28T04:37:15Z,diskusi yang membuka mata tentang indonesia
2026-03-28T03:53:52Z,sy senang lihat podcast
2026-03-27T16:00:24Z,cl simed it ready to receive this blessing from universe am en itrustyouvomcompletely
2026-03-25T23:31:37Z,flamingo
2026-03-25T23:31:22Z,ie don t come back who cares
2026-03-25T23:31:01Z,notice zamani came back for raya i can do the same
2026-03-25T23:29:03Z,laffer curve incomplete laffer pareto optimum
2026-03-25T14:18:03Z,pemerintah bisa buat perusahaan perusahaan mobil perusahaan alat perusahaan pajaiaan dll
2026-03-25T14:09:41Z,indonesia harus banyak tempat bekerja pemerintah harus bisa menciptakan contoh mendirikan perusahaan yang membutuhkan tenaga kerja
2026-03-24T08:06:54Z,izin jadiin clip om
2026-03-21T19:44:11Z,daging pakk
2026-03-19T10:45:56Z,ternyata basa basi kata prof latuhihin
2026-03-19T01:34:58Z,ketertinggalan sdm gaji guru rendah sekolah pendidikan guru seperti ikip ditutup bagaimana mau membangun sdm
2026-03-18T11:03:01Z,orang produktif vs orang tak produktif not a chance for productivity but no change for our country penyerapan tenaga kerja pak untuk indonesia emas
2026-03-16T21:39:52Z,daging semua podcast kelas
2026-03-16T07:11:57Z,ini obrolan isi semua walaupun saya sendiri kosong
2026-03-16T03:20:08Z,soraknya sorak hiyo sorak hiyo hio ne dupo jowo kemutuk kemukus kebuke
2026-03-15T00:58:03Z,tahun
2026-03-15T00:57:21Z,politik pemerintahan indonesia tahun
2026-03-14T06:53:10Z,bapak dan ibuku adalah petani aku bangga bisa menjadi salah satu penonton konten pak gita
2026-03-12T20:48:28Z,orang pinter betduskusi dg orang cerdas isinya daging semua
2026-03-11T20:28:46Z,ini mentri pembohong smua barang pada naik dan pedagang makin melarat
2026-03-16T00:26:59Z,ibu lihat kondisi geopolitik saat ini semua negara tertekan tidak hanya indonesia
2026-03-11T15:34:42Z,bareng pemerintah prabowo kita bisa bawa perubahan asli
2026-03-11T07:03:32Z,yang namanya kebijakan sudah semestinya memilih dari yang terbaik
2026-03-11T05:35:41Z,bpk tolong saya bpk
2026-03-10T19:12:12Z,ini seminar kan pak
2026-03-08T02:13:02Z,mantap
2026-03-05T22:18:31Z,tkh
2026-03-05T17:44:01Z,orang yang optimistis
2026-03-04T17:53:31Z,this video was amazing learned a lot
2026-03-04T04:43:25Z,ada aspek yg terlewat yaitu aspek kapasitas wadah kapasitas ruang ekonomi kinerja tata ruang ekonomi ekologi
2026-03-04T04:13:19Z,hdhdhs
2026-03-03T19:30:40Z,bener obrolan kwalitas hebat obrolan yg bisa dipahami marilah kita belajar dari sinikita tahu mengapa pak purbaya banyak yg gak suka krn idenya yg luar biasa dan meraka akan merasa gak bisa bergerak leluasa lagi bismillah smoga indonesi bisa membaik dan membaik lagi
2026-03-03T04:42:08Z,yang ini anak bawang herr
2026-03-02T20:26:41Z,gaji guru honoer
2026-03-02T11:23:32Z,dokter umum
2026-02-27T08:15:06Z,ya allah aku poso
2026-02-27T03:02:37Z,ga hanya pintar pak tapi nasionalisme dan patriotisme
2026-02-26T16:55:37Z,dengerin obrolan yang luar biasa dari orang pintar yang menuangkan raga dan pikiran untuk bagaimana indonesia bisa lebih baik dan maju kedepannyaproud
2026-02-26T16:44:47Z,gue nonton hampe hbs ful gila sih bermanfaat sekali sih obrolannya
2026-02-26T08:32:26Z,economic it electrical engineering i think that s will build indoesian future
2026-02-26T06:47:02Z,s d
2026-02-26T05:55:52Z,assalamualaikum
2026-02-25T05:20:00Z,tahun pak purbaya president wakil president pak dharma
2026-02-24T10:08:11Z,istri pak pur keren
2026-02-23T21:11:58Z,percuma kalo koruptor masuk kabinet pak
2026-02-23T14:32:09Z,orang seperti ini yang menjadi presiden
2026-02-22T18:04:19Z,masih bilang sekolah ga penting
2026-02-22T17:58:40Z,apakah mbg tepat sasaran saya rasa dana hanya untuk sarana dan distribusi
2026-02-22T12:00:41Z,saya masih kelas sma saya sangat suka menonton podcast seperti ini
2026-02-21T20:19:15Z,makasi pak pur baya sehat selalu buat pak pur dan keluwarga tuhan memberkatti kita semua
