Date,Comment,tokens_stopword,clean_text,stemmed
2026-03-30T22:23:07Z,"['wajar', 'lah', 'pak', 'prabowo', 'mengedepankan', 'kepentingan', 'untuk', 'mencetak', 'man', 'power', 'tinggi', 'knp', 'dia', 'belajar', 'dari', 'bapak', 'angkatnya', 'itu', 'pak', 'bjhabibi']","['wajar', 'prabowo', 'mengedepankan', 'kepentingan', 'mencetak', 'man', 'power', 'tinggi', 'knp', 'belajar', 'angkatnya', 'bjhabibi']",wajar prabowo mengedepankan kepentingan mencetak man power tinggi knp belajar angkatnya bjhabibi,wajar prabowo depan penting cetak man power tinggi knp ajar angkat bjhabibi
2026-03-28T21:55:14Z,"['subsidi', 'bbm', 'mau', 'dialihkan', 'full', 'mbg', 'bungg']","['subsidi', 'bbm', 'mau', 'dialihkan', 'full', 'mbg', 'bungg']",subsidi bbm mau dialihkan full mbg bungg,subsidi bbm mau alih full mbg bungg
2026-03-28T04:37:15Z,"['diskusi', 'yang', 'membuka', 'mata', 'tentang', 'indonesia']","['diskusi', 'membuka', 'mata', 'indonesia']",diskusi membuka mata indonesia,diskusi buka mata indonesia
2026-03-28T03:53:52Z,"['senang', 'lihat', 'podcast']","['senang', 'lihat', 'podcast']",senang lihat podcast,senang lihat podcast
2026-03-27T16:00:24Z,"['simed', 'ready', 'receive', 'this', 'blessing', 'from', 'universe', 'itrustyouvomcompletely']","['simed', 'ready', 'receive', 'this', 'blessing', 'from', 'universe', 'itrustyouvomcompletely']",simed ready receive this blessing from universe itrustyouvomcompletely,simed ready receive this blessing from universe itrustyouvomcompletely
2026-03-25T23:31:37Z,['flamingo'],['flamingo'],flamingo,flamingo
2026-03-25T23:31:22Z,"['don', 'come', 'back', 'who', 'cares']","['don', 'come', 'back', 'who', 'cares']",don come back who cares,don come back who cares
2026-03-25T23:31:01Z,"['notice', 'zamani', 'came', 'back', 'for', 'raya', 'can', 'the', 'same']","['notice', 'zamani', 'came', 'back', 'for', 'raya', 'can', 'the', 'same']",notice zamani came back for raya can the same,notice zaman came back for raya can the same
2026-03-25T23:29:03Z,"['laffer', 'curve', 'incomplete', 'laffer', 'pareto', 'optimum']","['laffer', 'curve', 'incomplete', 'laffer', 'pareto', 'optimum']",laffer curve incomplete laffer pareto optimum,laffer curve incomplete laffer pareto optimum
2026-03-25T14:18:03Z,"['pemerintah', 'bisa', 'buat', 'perusahaan', 'perusahaan', 'mobil', 'perusahaan', 'alat', 'perusahaan', 'pajaiaan', 'dll']","['pemerintah', 'buat', 'perusahaan', 'perusahaan', 'mobil', 'perusahaan', 'alat', 'perusahaan', 'pajaiaan']",pemerintah buat perusahaan perusahaan mobil perusahaan alat perusahaan pajaiaan,perintah buat usaha usaha mobil usaha alat usaha pajaiaan
2026-03-25T14:09:41Z,"['indonesia', 'harus', 'banyak', 'tempat', 'bekerja', 'pemerintah', 'harus', 'bisa', 'menciptakan', 'contoh', 'mendirikan', 'perusahaan', 'yang', 'membutuhkan', 'tenaga', 'kerja']","['indonesia', 'banyak', 'tempat', 'bekerja', 'pemerintah', 'menciptakan', 'contoh', 'mendirikan', 'perusahaan', 'membutuhkan', 'tenaga', 'kerja']",indonesia banyak tempat bekerja pemerintah menciptakan contoh mendirikan perusahaan membutuhkan tenaga kerja,indonesia banyak tempat kerja perintah cipta contoh diri usaha butuh tenaga kerja
2026-03-24T08:06:54Z,"['izin', 'jadiin', 'clip']","['izin', 'jadiin', 'clip']",izin jadiin clip,izin jadiin clip
2026-03-21T19:44:11Z,"['daging', 'pakk']","['daging', 'pakk']",daging pakk,daging pakk
2026-03-19T10:45:56Z,"['ternyata', 'basa', 'basi', 'kata', 'prof', 'latuhihin']","['ternyata', 'basa', 'basi', 'kata', 'prof', 'latuhihin']",ternyata basa basi kata prof latuhihin,nyata basa basi kata prof latuhihin
2026-03-19T01:34:58Z,"['ketertinggalan', 'sdm', 'gaji', 'guru', 'rendah', 'sekolah', 'pendidikan', 'guru', 'seperti', 'ikip', 'ditutup', 'bagaimana', 'mau', 'membangun', 'sdm']","['ketertinggalan', 'sdm', 'gaji', 'guru', 'rendah', 'sekolah', 'pendidikan', 'guru', 'ikip', 'ditutup', 'bagaimana', 'mau', 'membangun', 'sdm']",ketertinggalan sdm gaji guru rendah sekolah pendidikan guru ikip ditutup bagaimana mau membangun sdm,tinggal sdm gaji guru rendah sekolah didik guru ikip tutup bagaimana mau bangun sdm
