Comment,emotion,confidence
wajar prabowo depan penting cetak man power tinggi knp ajar angkat bjhabibi,joy,0.5131028294563293
subsidi bbm mau alih full mbg bungg,joy,0.7267757058143616
diskusi buka mata indonesia,joy,0.48663660883903503
senang lihat podcast,anger,0.4954492747783661
simed ready receive this blessing from universe itrustyouvomcompletely,joy,0.9921172261238098
flamingo,joy,0.8509044051170349
don come back who cares,anger,0.5603756904602051
notice zaman came back for raya can the same,anger,0.7645201086997986
laffer curve incomplete laffer pareto optimum,joy,0.2925856113433838
perintah buat usaha usaha mobil usaha alat usaha pajaiaan,anger,0.5759146213531494
indonesia banyak tempat kerja perintah cipta contoh diri usaha butuh tenaga kerja,anger,0.4682295620441437
izin jadiin clip,joy,0.467672199010849
daging pakk,anger,0.7634423971176147
nyata basa basi kata prof latuhihin,anger,0.40006646513938904
tinggal sdm gaji guru rendah sekolah didik guru ikip tutup bagaimana mau bangun sdm,joy,0.8882810473442078
orang produktif orang tidak produktif not chance for productivity but change for our country serap tenaga kerja indonesia emas,joy,0.9673708081245422
daging semua podcast kelas,anger,0.5478954315185547
obrol isi semua walaupun sendiri kosong,anger,0.43928977847099304
sorak sorak hiyo sorak hiyo hio dupo jowo kemutuk kemukus kebuke,anger,0.6147242188453674
tahun,anger,0.6741243600845337
politik perintah indonesia tahun,anger,0.6102375388145447
ibu tani aku bangga jadi salah satu tonton konten gita,joy,0.6787756085395813
orang pinter betduskusi orang cerdas isi daging semua,joy,0.4493526220321655
tri bohong smua barang naik dagang makin melarat,anger,0.5597556829452515
ibu lihat kondisi geopolitik semua negara tekan tidak indonesia,joy,0.5264644622802734
bareng perintah prabowo bawa ubah asli,anger,0.4767098128795624
nama bijak mesti pilih baik,anger,0.5247892141342163
,anger,0.5040603876113892
seminar kan,joy,0.38944101333618164
mantap,anger,0.7601895928382874
tkh,anger,0.5117900967597961
orang optimistis,joy,0.8167425990104675
this video was amazing learned lot,joy,0.5372965931892395
aspek lewat aspek kapasitas wadah kapasitas ruang ekonomi kerja tata ruang ekonomi ekologi,joy,0.4171435236930847
hdhdhs,joy,0.37157177925109863
bener obrol kwalitas hebat obrol paham mari ajar sinikita tahu purbaya banyak tidak suka ide luar biasa raka rasa tidak gerak leluasa bismillah smoga indonesi baik baik,joy,0.48785942792892456
anak bawang herr,anger,0.788395881652832
gaji guru honoer,joy,0.9618054032325745
dokter umum,anger,0.5101412534713745
allah aku poso,joy,0.5140476822853088
tidak pintar nasionalisme patriotisme,joy,0.9854195713996887
